sample_id,DACH1_expr,burden_index,CADM1_meth,ESR1_meth,SLIT2_meth,EDNRB_meth
TCGA-2W-A8YY-01,93.3476,0.45081428571428567,0.058,0.7074,0.1549,0.6211
TCGA-4J-AA1J-01,19.6497,0.21437142857142857,0.4667,0.8567,0.4899,0.7593
TCGA-BI-A0VR-01,143.4326,0.2061714285714286,0.4695,0.8528,0.2536,0.5128
TCGA-BI-A0VS-01,23.7706,0.3269,0.4819,0.7647,0.5915,0.6111
TCGA-BI-A20A-01,50.9638,0.40801428571428566,0.5592,0.7149,0.1922,0.5984
TCGA-C5-A0TN-01,2.9766,0.30258571428571424,0.8063,0.944,0.1004,0.648
TCGA-C5-A1BE-01,8.8757,0.2583714285714286,0.1674,0.8799,0.1041,0.5822
TCGA-C5-A1BF-01,77.3877,0.33172857142857143,0.1013,0.9463,0.0894,0.5859
TCGA-C5-A1BI-01,14.8674,0.3638571428571429,0.2802,0.773,0.3583,0.3172
TCGA-C5-A1BJ-01,21.1457,0.34718571428571426,0.4248,0.8719,0.4105,0.2808
TCGA-C5-A1BK-01,13.7118,0.32418571428571424,0.3967,0.9377,0.3381,0.4147
TCGA-C5-A1BL-01,1.8042,0.30474285714285715,0.5864,0.9306,0.4543,0.6315
TCGA-C5-A1BM-01,60.6646,0.25565714285714286,0.1598,0.7373,0.1729,0.4285
TCGA-C5-A1BN-01,10.6258,0.2961571428571429,0.5195,0.9282,0.6487,0.7309
TCGA-C5-A1BQ-01,5.2272,0.1859,0.3258,0.4278,0.7102,0.6711
TCGA-C5-A1M5-01,15.3071,0.34528571428571425,0.6649,0.9106,0.1616,0.674
TCGA-C5-A1M6-01,9.0863,0.27392857142857147,0.5936,0.478,0.715,0.7135
TCGA-C5-A1M7-01,11.0375,0.3949571428571429,0.3998,0.8669,0.5175,0.4052
TCGA-C5-A1M8-01,528.2008,0.3206142857142857,0.1957,0.9269,0.6562,0.8588
TCGA-C5-A1MF-01,74.946,0.23342857142857149,0.0793,0.8727,0.1182,0.6959
TCGA-C5-A1MH-01,25.2127,0.30469999999999997,0.3553,0.8765,0.4161,0.3152
